country,vertical,count_11_200_employees,timestamp
UAE,marketing_agencies,1.8K,1780324404
UAE,mgmt_consulting,2.5K,1780324414
UAE,accounting,496,1780324425
UAE,legal,203,1780324432
UAE,real_estate,2.4K,1780324440
UAE,healthcare,1.0K,1780324452
UAE,software_dev,,1780324480
UAE,it_services,,1780324516
UAE,architecture,,1780324551
UAE,import_export,,1780324587
UAE,restaurants,,1780324623
UAE,logistics,,1780324658
UAE,manufacturing,,1780324694
UAE,construction,,1780324729
KSA,marketing_agencies,,1780324765
KSA,mgmt_consulting,,1780324802
KSA,accounting,,1780324839
KSA,legal,,1780324875
KSA,real_estate,,1780324911
KSA,healthcare,,1780324947
KSA,software_dev,,1780324983
KSA,it_services,,1780325018
KSA,architecture,,1780325054
KSA,import_export,,1780325089
KSA,restaurants,,1780325125
KSA,logistics,,1780325160
KSA,manufacturing,,1780325195
KSA,construction,,1780325231
Egypt,marketing_agencies,,1780325267
Egypt,mgmt_consulting,,1780325302
Egypt,accounting,,1780325338
Egypt,legal,,1780325374
UAE,software_dev,,1780325397
Egypt,real_estate,,1780325410
UAE,it_services,,1780325440
Egypt,healthcare,,1780325445
Egypt,software_dev,,1780325481
UAE,architecture,,1780325483
Egypt,it_services,,1780325516
UAE,restaurants,,1780325527
Egypt,architecture,,1780325552
UAE,logistics,,1780325570
Egypt,import_export,,1780325588
UAE,manufacturing,,1780325612
Egypt,restaurants,,1780325624
UAE,construction,,1780325655
Egypt,logistics,,1780325660
Egypt,manufacturing,,1780325696
KSA,marketing_agencies,,1780325698
Egypt,construction,,1780325732
KSA,mgmt_consulting,,1780325741
Jordan,marketing_agencies,,1780325767
KSA,accounting,,1780325784
Jordan,mgmt_consulting,,1780325804
KSA,legal,,1780325827
Jordan,accounting,,1780325839
KSA,real_estate,,1780325870
Jordan,legal,,1780325874
Jordan,real_estate,,1780325910
KSA,healthcare,,1780325913
Jordan,healthcare,,1780325945
KSA,software_dev,,1780325956
Jordan,software_dev,,1780325981
Egypt,marketing_agencies,,1780326000
Jordan,it_services,,1780326017
Egypt,mgmt_consulting,,1780326042
Jordan,architecture,,1780326053
Egypt,accounting,,1780326084
Jordan,import_export,,1780326089
Jordan,restaurants,,1780326125
Egypt,legal,,1780326127
Jordan,logistics,,1780326161
Egypt,real_estate,,1780326170
Jordan,manufacturing,,1780326196
Egypt,software_dev,,1780326213
Jordan,construction,,1780326232
Kuwait,marketing_agencies,,1780326267
Kuwait,mgmt_consulting,,1780326303
Kuwait,accounting,,1780326338
Kuwait,legal,,1780326374
Kuwait,real_estate,,1780326409
Kuwait,healthcare,,1780326445
Kuwait,software_dev,,1780326481
Kuwait,it_services,,1780326516
Kuwait,architecture,,1780326552
Kuwait,import_export,,1780326587
Kuwait,restaurants,,1780326623
Kuwait,logistics,,1780326658
Kuwait,manufacturing,,1780326694
Kuwait,construction,,1780326729
